Name,Grape,Score,Price,Normalized_Score
"Quinta do Crasto Roquette & Cazes, Douro, Portugal",Portuguese Red Blend,89,84,7.8
"Kopke 20 Year Old Port, Portugal",Port Blend Red,89,219,7.8
"Jose Maria da Fonseca Twin Vines, Vinho Verde, Portugal",Portuguese White Blend,85,25,7.0
"Burmester Jockey Club Reserve Port, Portugal",Port Blend Red,87,70,7.4
"Esporao Quinta dos Murcas 'Assobio', Douro, Portugal",Portuguese Red Blend,87,45,7.4
"Quinta do Mouro Rotulo Dourado, Vinho Regional Alentejano, Portugal",Rare Red Blend,90,268,8.0
"Quinta de Roriz Prazo de Roriz, Douro, Portugal",Portuguese Red Blend,88,55,7.6
"Adega Vila Real Reserva Tinto, Douro, Portugal",Portuguese Red Blend,86,25,7.2
"Real Companhia Velha Royal Oporto 40 Year Old Tawny Port, Portugal",Port Blend Red,90,442,8.0
"Quinta do Crasto Vintage Port, Portugal",Port Blend Red,90,189,8.0
"Offley 10 Year Old Tawny Port, Portugal",Port Blend Red,88,119,7.6
"Herdade da Farizoa Grande Reserva, Alentejo, Portugal",Syrah - Touriga,89,80,7.8
"Calem Velhotes - Old Friends Tawny Port, Portugal",Port Blend Red,86,35,7.2
"Duorum Tinto, Douro, Portugal",Portuguese Red Blend,89,65,7.8
"Sogrape Vinhos 'Legado' Fernando Guedes, Douro, Portugal",Portuguese Red Blend,91,800,8.2
"Azinhaga de Ouro, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,87,10,7.4
"Conde D'Ervideira Branco Reserva, Alentejo, Portugal",Antao Vaz,87,50,7.4
"Quinta da Alorna Touriga Nacional - Cabernet Sauvignon Reserva, Vinho Regional Tejo, Portugal",Rare Red Blend,89,50,7.8
"Quinta do Noval Cedro do Noval, Vinho Regional Duriense, Portugal",Portuguese Red Blend,90,75,8.0
"Fonseca 40 Year Old Tawny Port, Portugal",Port Blend Red,91,805,8.2
"Quinta Nova de Nossa Senhora do Carmo 'Mirabilis' Grande Reserva Tinto, Douro, Portugal",Portuguese Red Blend,90,338,8.0
"Ramos Pinto 30 Year Old Tawny Port, Portugal",Port Blend Red,91,353,8.2
"Croft Late Bottled Vintage Port, Portugal",Port Blend Red,88,75,7.6
"Niepoort Fabelhaft, Douro, Portugal",Portuguese Red Blend,87,45,7.4
"Vicente Leite Faria Animus, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,87,35,7.4
"Calem Special Reserve Port, Portugal",Port Blend Red,88,60,7.6
"Quinta das Bageiras Garrafeira Tinto, Bairrada, Portugal",Baga,91,119,8.2
"Luis Duarte Rubrica Tinto, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,91,84,8.2
"Quinta do Vale D. Dona Maria 'Vinha da Francisca', Douro, Portugal",Portuguese Red Blend,92,273,8.4
